Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
005930	KR7005930003	삼성전자	KOSPI		55250	2	-150	-0.27	54900	55300	54800	3578223	196863894700	327059995190500	5919637922	STK
000660	KR7000660001	SK하이닉스	KOSPI		174700	2	-1900	-1.08	175000	175500	174000	680898	118971845000	127182013165500	728002365	STK
373220	KR7373220003	LG에너지솔루션	KOSPI		331500	2	-1000	-0.3	332000	337000	331000	42773	14240573250	77571000000000	234000000	STK
207940	KR7207940008	삼성바이오로직스	KOSPI		1068000	2	-4000	-0.37	1070000	1078000	1064000	21090	22588035000	76013832000000	71174000	STK
005380	KR7005380001	현대차	KOSPI		187100	2	-200	-0.11	186100	187700	185900	144993	27104949850	39181769336100	209416191	STK
012450	KR7012450003	한화에어로스페이스	KOSPI		838000	1	8000	0.96	829000	843000	823000	77607	64802234500	38197012918000	45581161	STK
005935	KR7005931001	삼성전자우	KOSPI		45700	1	100	0.22	45450	45750	45450	154451	7042268650	37290042144800	815974664	STK
068270	KR7068270008	셀트리온	KOSPI		158900	1	1500	0.95	157500	159200	157000	142277	22536692600	35475741168700	223258283	STK
000270	KR7000270009	기아	KOSPI		87500	2	-500	-0.57	87600	88000	87100	211151	18479927550	34796355300000	397672632	STK
105560	KR7105560007	KB금융	KOSPI		83300	1	500	0.6	82900	83500	82100	266379	22072437600	32780917635900	393528423	STK
329180	KR7329180004	HD현대중공업	KOSPI		363000	1	11000	3.13	349000	363500	347500	121098	43195909250	32224641108000	88773116	STK
035420	KR7035420009	NAVER	KOSPI		193100	1	5600	2.99	187200	195700	186000	347619	67060167350	30594186244800	158437008	STK
055550	KR7055550008	신한지주	KOSPI		48500	2	-200	-0.41	48400	48750	48100	391698	18974651650	24417098262500	503445325	STK
042660	KR7042660001	한화오션	KOSPI		78900	1	1000	1.28	76900	79600	76800	1269003	99491398400	24176016786600	306413394	STK
012330	KR7012330007	현대모비스	KOSPI		240500	2	-3500	-1.43	244000	245000	240500	41952	10149737750	22365320107000	92995094	STK
138040	KR7138040001	메리츠금융지주	KOSPI		117600	2	-200	-0.17	117900	118500	116400	70902	8327289850	21712390744800	184629173	STK
